Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MariaDB,0,4393.2,52718.40,USD,"Quantity (2), Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (2000 GB per month), Additional backup storage (2000 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,1321.28,15855.36,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (m5.4xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,741.95,8903.40,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Instance type (t2.2xlarge)"
My Estimate,US East (N. Virginia),S3 Standard,0,127.8,1533.60,USD,S3 Standard storage (4000 GB per month)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,482.85,5794.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,600.43,7205.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,892.43,10709.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (2500 per second), Average TCP connection duration (1 seconds), Processed bytes per NLB for UDP (0 GB per hour), Average number of new UDP Flows (0 per second), Average UDP Flow duration (0 seconds), Processed bytes per NLB for TLS (100 GB per hour), Average number of new TLS connections (2500 per second), Average TLS connection duration (1 seconds)"


Total monthly : 8,559.94 USD

"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
