User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA5P2M3YMMMBOTXJVM,2020-06-29T03:23:25Z,s3.amazonaws.com,CreateBucket,us-east-2,142.182.50.171,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.792 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""s3-buck-cloud-trail""}]",789EB32A3E7328AA,1c14201b-a9d4-4f76-b20a-2134cceb58b6,,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMMBOTXJVM,2020-06-29T03:23:25Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,142.182.50.171,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.792 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""s3-buck-cloud-trail""}]",476221150EAF9A92,248dd3f3-b934-40c4-a6ad-89151cdf867c,,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMMBOTXJVM,2020-06-29T03:23:25Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-2,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:927337267992:trail/Udacity_Trail""}]",98298571-f0de-467e-8a93-79235d02ff60,2cf781cb-e1d2-406a-80ed-e297765649e5,false,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMMBOTXJVM,2020-06-29T03:23:25Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",c78b9bf2-18d9-43b0-9cb1-4f14bf8cd00e,4436ef52-cb61-49e7-b59a-413f2ddf6532,false,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMMBOTXJVM,2020-06-29T03:23:25Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:927337267992:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""s3-buck-cloud-trail""}]",4c5fefb2-1c54-4ee3-bb68-473f4a5bdc98,84d475e4-63f2-48e4-a698-d5ebccaac7bf,false,AwsApiCall,927337267992,
Accountant,ASIA5P2M3YMMOFSYBIP7,2020-06-29T03:20:33Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],911c11f6-ae3e-4348-a6f9-ee75d5b5152b,e301530e-5b54-4dd7-9d54-93ea0a971d27,false,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMBG2GMXPH,2020-06-29T03:19:39Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],f14bdd5e-f0bb-4456-8e53-c3eb4b7281ab,4b4501f4-5fa8-4ab7-bba7-f10de1792cb2,false,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMBG2GMXPH,2020-06-29T03:19:19Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,InternalFailure,[],3cdf4f8e-90a2-4c65-936e-834ca86967ac,bd5e2c27-a49b-441c-b9a8-8263650bb1c3,false,AwsApiCall,927337267992,
CloudTrail,ASIA5P2M3YMMBG2GMXPH,2020-06-29T03:18:52Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,InternalFailure,[],1b1d0920-fe71-4c2c-994e-8f340a2adca6,356f92d4-218e-4c61-a984-9ddc62a07848,false,AwsApiCall,927337267992,
Administrator,ASIA5P2M3YMMA7S6DQYR,2020-06-29T03:13:38Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,142.182.50.171,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",9684255d-d5a4-419a-8c78-698cae86a657,13a53bc6-4021-4190-a794-9da86dfc5216,,AwsApiCall,927337267992,
